edificio_id,codigo_region,region,heating_demand_kwh,calibration_target_source,calibration_target_fuel_energy_kwh,mvp_target_fuel_energy_kwh,mvp_assigned_useful_energy_kwh,mvp_unmet_heating_energy_kwh,trial,event_fuel_energy_kwh,event_duration_hours,min_event_interval_hours,storage_capacity_kwh,storage_loss_rate_per_hour,valid,error,score,assigned_useful_energy_kwh,assigned_fuel_energy_kwh,profile_error_kwh,unmet_heating_energy_kwh,storage_spill_energy_kwh,stored_energy_end_kwh,event_count,is_best
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,49,16.0,1.0,1.0,8.0,0.01,True,,0.7160559626480949,1492.6710873254426,4154.8184164463,1330.7277336352531,1277.207856972091,365.01892987393376,0.0,260,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,50,16.0,1.0,1.0,16.0,0.0,True,,0.24999920952644167,2077.40920822315,4154.8184164463,1038.701319837477,692.4697360743833,0.0,0.0,260,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,51,16.0,1.0,1.0,16.0,0.01,True,,0.5183794090452596,1705.677627981469,4154.8184164463,1224.4433648035915,1064.2013163160645,0.0,0.0,260,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,52,16.0,1.0,1.0,32.0,0.0,True,,0.24999920952644164,2077.40920822315,4154.8184164463,1038.701319837477,692.4697360743834,0.0,0.0,260,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,53,16.0,1.0,1.0,32.0,0.01,True,,0.6458382939880397,1529.1662109026333,4154.8184164463,1312.7333446064756,1240.7127333949,0.0,0.0,260,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,54,16.0,1.0,1.0,64.0,0.0,True,,0.24999920952644164,2077.40920822315,4154.8184164463,1038.701319837477,692.4697360743834,0.0,0.0,260,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,55,16.0,1.0,1.0,64.0,0.01,True,,0.8602718952740664,1232.1074204687895,4154.8184164463,1461.019044249953,1537.771523828744,0.0,0.0,260,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,56,16.0,1.0,2.0,8.0,0.0,True,,0.5645475515524675,1703.7827574385162,4154.8184164463,1224.7132117959575,1066.096186859017,373.62645078463385,0.0,260,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,57,16.0,1.0,2.0,8.0,0.01,True,,0.7160559626480949,1492.6710873254426,4154.8184164463,1330.7277336352531,1277.207856972091,365.01892987393376,0.0,260,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,58,16.0,1.0,2.0,16.0,0.0,True,,0.24999920952644167,2077.40920822315,4154.8184164463,1038.701319837477,692.4697360743833,0.0,0.0,260,False
