edificio_id,codigo_region,region,codigo_comuna,nombre_comuna,regional_sample_rank,n_inmuebles,winter_setpoint_c,setpoint_scenario,thermal_zone,model_persons,model_area_m2,heating_demand_kwh,target_fuel_energy_kwh,redpe_target_wood_volume_stere,assigned_fuel_energy_kwh,assigned_useful_energy_kwh,wood_volume_stere,unallocated_fuel_energy_kwh,unmet_heating_energy_kwh,storage_spill_energy_kwh,event_count,event_fuel_energy_kwh,event_duration_hours,min_event_interval_hours,storage_capacity_kwh,storage_loss_rate_per_hour
2301379,14,Los Rios,10101,Valdivia,2,1,22.0,invierno_22C,G,4,45.0,4764.394498357717,26430.0,14.16,14048.0,4764.394498357717,7.525714285714286,12382.0,0.0,1490.4389980778835,439,32.0,1.0,1.0,16.0,0.01
2366833,14,Los Rios,10112,Lago Ranco,3,1,22.0,invierno_22C,F,2,100.0,19637.72240516321,26430.0,14.16,26430.0,10918.13551039893,14.158928571428572,0.0,8719.586894764281,1906.307247980137,826,32.0,1.0,1.0,16.0,0.01
2323851,14,Los Rios,10103,Lanco,4,1,22.0,invierno_22C,F,2,46.0,7805.355339021841,26430.0,14.16,21568.0,7805.355339021841,11.554285714285715,4862.0,0.0,2182.1293345924023,674,32.0,1.0,1.0,16.0,0.01
2363208,14,Los Rios,10111,Río Bueno,5,1,22.0,invierno_22C,F,2,100.0,15371.247636552782,26430.0,14.16,26430.0,10618.378382779098,14.158928571428572,0.0,4752.869253773682,2129.5303453033785,826,32.0,1.0,1.0,16.0,0.01
2331913,14,Los Rios,10105,Futrono,6,1,22.0,invierno_22C,F,4,55.0,11785.620728299897,26430.0,14.16,26430.0,10203.455534996532,14.158928571428572,0.0,1582.1651933033631,2435.6102637409704,826,32.0,1.0,1.0,16.0,0.01
2339667,14,Los Rios,10108,Panguipulli,7,1,22.0,invierno_22C,F,3,72.0,12922.328121130377,26430.0,14.16,26430.0,10489.132262953459,14.158928571428572,0.0,2433.1958581769168,2209.8307512267356,826,32.0,1.0,1.0,16.0,0.01
2329058,14,Los Rios,10104,Los Lagos,8,1,22.0,invierno_22C,F,3,57.0,8965.872509144518,26430.0,14.16,24192.0,8965.872509144518,12.959999999999999,2238.0,0.0,2336.541270926842,756,32.0,1.0,1.0,16.0,0.01
2321745,14,Los Rios,10102,Mariquina,9,1,22.0,invierno_22C,G,3,43.0,3692.713430180844,26430.0,14.16,11360.0,3692.713430180844,6.085714285714285,15070.0,0.0,1234.0821672030422,355,32.0,1.0,1.0,16.0,0.01
2334265,14,Los Rios,10106,Corral,10,1,22.0,invierno_22C,G,8,90.0,5763.315182059102,26430.0,14.16,16288.0,5763.315182059102,8.725714285714286,10142.0,0.0,1668.7467886062957,509,32.0,1.0,1.0,16.0,0.01
2350060,14,Los Rios,10109,La Unión,11,1,22.0,invierno_22C,F,2,50.0,9011.895209190998,26430.0,14.16,24384.0,9011.895209190998,13.062857142857146,2046.0,0.0,2385.700272928599,762,32.0,1.0,1.0,16.0,0.01
2336620,14,Los Rios,10107,Máfil,12,1,22.0,invierno_22C,G,4,42.0,4679.053254024396,26430.0,14.16,13824.0,4679.053254024396,7.405714285714287,12606.0,0.0,1450.8377676340842,432,32.0,1.0,1.0,16.0,0.01
2334777,14,Los Rios,10106,Corral,13,1,22.0,invierno_22C,G,4,48.0,5534.625248775497,26430.0,14.16,16000.0,5534.625248775497,8.571428571428571,10430.0,0.0,1674.5582702272723,500,32.0,1.0,1.0,16.0,0.01
2321737,14,Los Rios,10102,Mariquina,14,1,22.0,invierno_22C,G,5,54.0,4824.796528678145,26430.0,14.16,14080.0,4824.796528678145,7.542857142857143,12350.0,0.0,1463.8730130949414,440,32.0,1.0,1.0,16.0,0.01
2354580,14,Los Rios,10110,Paillaco,15,1,22.0,invierno_22C,F,2,42.0,7653.946504341623,26430.0,14.16,21248.0,7653.946504341623,11.382857142857143,5182.0,0.0,2164.149073277227,664,32.0,1.0,1.0,16.0,0.01
2331594,14,Los Rios,10105,Futrono,16,1,22.0,invierno_22C,F,4,56.0,11935.319566696437,26430.0,14.16,26430.0,10222.78437254499,14.158928571428572,0.0,1712.5351941514461,2425.398794540378,826,32.0,1.0,1.0,16.0,0.01
2326412,14,Los Rios,10103,Lanco,17,1,22.0,invierno_22C,F,3,73.0,10906.361585262162,26430.0,14.16,26430.0,10209.953284553932,14.158928571428572,0.0,696.4083007082307,2363.156179973076,826,32.0,1.0,1.0,16.0,0.01
