codigo_region,region,fit_records,holdout_records,target_source,target_fuel_energy_kwh,target_wood_volume_stere,trial,event_fuel_energy_kwh,event_duration_hours,min_event_interval_hours,storage_capacity_kwh,storage_loss_rate_per_hour,valid,error,score,assigned_useful_energy_kwh,assigned_fuel_energy_kwh,fuel_error_kwh,profile_error_kwh,unmet_heating_energy_kwh,unallocated_fuel_energy_kwh,storage_spill_energy_kwh,stored_energy_end_kwh,event_count
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,73,16.0,2.0,1.0,8.0,0.01,True,,0.5615209212456321,3030.5127544837615,6981.301756430104,0.0,1974.9012142823888,1623.6884164696419,0.0,213.12532378459088,0.0,437
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,74,16.0,2.0,1.0,16.0,0.0,True,,0.33332828168336504,3490.650878215052,6981.301756430104,0.0,1745.2901720147293,1163.5502927383511,0.0,0.0,0.0,437
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,75,16.0,2.0,1.0,16.0,0.01,True,,0.49374531505995395,3117.2300059737677,6981.301756430104,0.0,1931.657708284805,1536.9711649796354,0.0,0.0,0.0,437
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,76,16.0,2.0,1.0,32.0,0.0,True,,0.33332828168336504,3490.650878215052,6981.301756430104,0.0,1745.2901720147293,1163.5502927383511,0.0,0.0,0.0,437
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,77,16.0,2.0,1.0,32.0,0.01,True,,0.5755857698109859,2926.8901525772258,6981.301756430104,0.0,2027.160985293868,1727.3110183761773,0.0,0.0,0.0,437
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,78,16.0,2.0,1.0,64.0,0.0,True,,0.33332828168336504,3490.650878215052,6981.301756430104,0.0,1745.2901720147293,1163.5502927383511,0.0,0.0,0.0,437
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,79,16.0,2.0,1.0,64.0,0.01,True,,0.7127491589218653,2607.704844647448,6981.301756430104,0.0,2186.7767247871125,2046.4963263059553,0.0,0.0,0.0,437
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,80,16.0,2.0,2.0,8.0,0.0,True,,0.4502473413352228,3286.4922524301246,6981.301756430104,0.0,1846.9822182751545,1367.7089185232785,0.0,204.15862578492718,0.0,437
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,81,16.0,2.0,2.0,8.0,0.01,True,,0.5615209212456321,3030.5127544837615,6981.301756430104,0.0,1974.9012142823888,1623.6884164696419,0.0,213.12532378459088,0.0,437
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,82,16.0,2.0,2.0,16.0,0.0,True,,0.33332828168336504,3490.650878215052,6981.301756430104,0.0,1745.2901720147293,1163.5502927383511,0.0,0.0,0.0,437
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,83,16.0,2.0,2.0,16.0,0.01,True,,0.49374531505995395,3117.2300059737677,6981.301756430104,0.0,1931.657708284805,1536.9711649796354,0.0,0.0,0.0,437
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,84,16.0,2.0,2.0,32.0,0.0,True,,0.33332828168336504,3490.650878215052,6981.301756430104,0.0,1745.2901720147293,1163.5502927383511,0.0,0.0,0.0,437
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,85,16.0,2.0,2.0,32.0,0.01,True,,0.5755857698109859,2926.8901525772258,6981.301756430104,0.0,2027.160985293868,1727.3110183761773,0.0,0.0,0.0,437
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,86,16.0,2.0,2.0,64.0,0.0,True,,0.33332828168336504,3490.650878215052,6981.301756430104,0.0,1745.2901720147293,1163.5502927383511,0.0,0.0,0.0,437
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,87,16.0,2.0,2.0,64.0,0.01,True,,0.7127491589218653,2607.704844647448,6981.301756430104,0.0,2186.7767247871125,2046.4963263059553,0.0,0.0,0.0,437
